date,ABCB4,ABEV3,ANIM3,AGRO3,ALPA3,ALPA4,AMAR3,ARZZ3,AZUL4,B3SA3,BBAS3,BBDC3,BBSE3,BEEF3,BIDI3,BKBR3,BPAC3,BRAP3,BRDT3,BRFS3,BRSR3,BRKM3,BRML3,BTOW3,CAML3,CARD3,CCRO3,CEAB3,CIEL3,CMIG3,CNTO3,COGN3,CPFE3,CPLE3,CRFB3,CSMG3,CSAN3,CSNA3,CVCB3,CYRE3,DIRR3,DTEX3,ECOR3,EGIE3,ELET3,ELET3,EMBR3,ENAT3,ENBR3,ENGI3,EVEN3,EQTL3,ETER3,EZTC3,FESA4,FHER3,FLRY3,GFSA3,GGBR3,GNDI3,GOAU3,GOLL4,GRND3,GUAR3,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA3,ITUB3,JBSS3,JHSF3,KLBN11,LAME3,LEVE3,LIGT3,LINX3,LLIS3,LOGN3,LREN3,LWSA3,MDIA3,MEAL3,MGLU3,MILS3,MRFG3,MRVE3,MULT3,MYPK3,NEOE3,NTCO3,OIBR3,OMGE3,PSSA3,PCAR3,PFRM3,PETR3,POMO3,POSI3,PRIO3,PTBL3,QUAL3,RADL3,RAIL3,RAPT3,RLOG3,RENT3,SANB11,SAPR11,SBSP3,SHUL4,SMTO3,SQIA3,STBP3,SULA3,SUZB3,TASA3,TCSA3,TGMA3,TAEE3,TIMS3,TOTS3,TRIS3,TUPY3,UGPA3,UNIP6,USIM5,VALE3,VIVT3,VLID3,VULC3,VVAR3,WEGE3,WIZS3,YDUQ3
2016-07-24,0,13,0,38,0,11,3,0,0,0,22,3,11,9,0,0,0,0,0,3,0,0,3,6,0,19,3,0,1,33,0,0,0,0,0,0,0,14,1,9,0,6,26,0,3,3,15,0,2,0,2,0,2,29,8,6,4,31,45,0,36,5,19,0,0,6,22,5,0,7,2,5,2,11,0,5,51,0,27,8,9,0,4,5,0,7,3,5,0,0,0,0,2,0,0,0,0,7,9,0,1,5,0,3,0,0,12,2,0,0,0,5,21,0,0,0,0,0,5,0,0,0,4,0,6,3,0,89,1,0,12,5,1,4,0,0
2016-07-31,6,11,0,52,0,11,6,0,0,0,16,10,13,19,0,0,0,0,0,4,0,0,3,3,0,9,5,0,4,26,0,0,14,0,0,0,15,18,1,3,8,0,55,2,3,3,23,0,2,0,2,5,21,8,45,6,0,17,22,0,0,4,7,0,0,6,4,0,0,3,4,9,2,11,0,5,25,0,7,4,2,0,9,5,1,0,3,3,6,4,0,0,1,0,31,3,13,8,9,4,1,53,4,6,0,0,12,2,0,0,9,11,14,0,0,0,0,0,0,0,0,0,0,0,39,3,4,83,3,0,0,16,0,3,0,0
2016-08-07,0,8,18,54,43,24,3,0,0,0,17,5,22,10,0,0,0,0,0,1,9,0,19,6,0,10,6,0,4,0,0,0,0,0,0,8,5,5,1,9,4,0,75,0,5,5,25,0,0,0,0,6,35,21,47,6,2,11,82,0,37,3,0,0,0,7,0,5,0,0,0,8,4,6,0,5,33,0,0,0,5,0,4,8,0,38,5,0,0,8,0,0,1,0,0,0,7,5,18,8,0,50,0,3,0,0,6,2,0,0,0,6,0,0,0,0,0,0,1,16,0,0,0,0,29,0,4,55,1,0,0,0,0,1,0,0
2016-08-14,0,7,18,8,0,12,0,0,0,0,20,0,13,6,0,0,0,0,0,1,0,0,6,6,0,13,8,0,1,13,0,0,0,0,0,0,8,26,0,3,4,0,21,5,3,3,10,0,2,0,2,0,20,0,38,3,0,28,23,0,49,3,8,8,0,0,0,0,0,0,0,4,1,3,0,0,26,2,7,4,5,0,0,0,1,8,6,3,0,0,0,0,1,0,20,0,0,9,0,4,0,11,2,22,0,0,0,5,3,0,0,11,7,0,0,0,0,0,1,16,0,0,0,0,17,3,0,52,1,0,0,0,0,2,0,0
2016-08-21,0,7,9,54,0,12,0,0,0,0,12,3,11,16,0,0,0,0,0,2,0,0,12,3,0,10,7,0,4,20,0,0,14,0,0,0,7,16,1,6,0,6,26,7,1,1,13,0,0,0,7,6,7,4,15,3,0,35,23,0,25,5,8,0,0,5,0,0,0,3,2,4,1,11,0,5,0,0,14,0,5,0,4,6,0,30,3,3,0,4,0,0,1,0,6,0,13,10,0,3,1,22,0,15,0,29,12,2,3,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,17,3,0,52,1,0,18,5,0,1,0,0
2016-08-28,0,12,9,36,0,33,3,3,0,0,21,0,7,3,0,0,0,0,0,1,0,16,26,6,0,3,4,0,6,12,0,0,13,0,0,4,14,13,1,3,7,0,25,4,2,2,19,0,2,0,7,0,9,0,51,14,0,50,22,0,12,3,7,0,0,8,8,0,0,6,2,2,2,3,0,5,30,0,0,8,0,0,0,2,0,49,4,0,0,0,0,0,1,0,24,0,0,8,0,1,0,31,2,9,0,0,12,2,19,0,0,0,7,0,0,0,0,0,2,30,0,0,4,0,27,3,0,47,1,0,0,0,0,2,0,0
2016-09-04,0,5,9,23,0,12,0,3,0,0,12,3,9,13,0,0,0,0,0,0,0,0,3,3,0,7,10,0,2,20,0,0,14,0,0,0,5,15,2,6,8,0,37,0,6,6,39,0,0,0,7,6,5,17,39,0,0,28,35,0,0,4,4,0,0,8,22,0,0,7,0,8,2,8,0,5,26,0,7,4,5,0,0,2,0,23,2,3,6,0,0,0,1,0,0,0,6,9,0,1,0,22,0,9,0,0,6,2,3,0,0,11,7,0,0,0,0,0,3,16,0,0,0,0,23,3,0,45,1,0,0,5,0,1,0,0
2016-09-11,0,9,17,7,0,33,0,0,0,0,21,5,5,3,0,0,0,0,0,2,0,0,3,6,0,3,12,0,4,6,0,0,0,0,0,0,7,9,1,6,7,0,34,0,3,3,30,0,0,0,7,11,25,0,22,3,0,7,44,0,58,5,4,0,0,5,29,0,0,3,2,4,1,3,0,5,48,0,13,0,4,0,4,5,0,49,9,3,0,0,0,0,1,0,6,0,6,11,0,9,0,36,0,0,0,0,11,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,52,1,4,6,5,0,1,0,0
2016-09-18,0,5,0,44,0,0,0,0,0,0,18,0,9,3,0,0,0,0,0,1,0,16,12,9,0,6,4,0,2,0,0,0,0,0,0,0,12,18,0,12,0,6,30,0,2,2,23,0,0,0,0,5,9,8,22,0,2,13,11,0,12,5,11,0,0,9,0,0,0,6,0,4,3,13,8,5,31,0,0,8,7,0,0,3,1,21,4,0,0,0,0,0,1,0,0,0,0,9,0,3,1,21,6,12,0,0,0,0,5,0,0,0,7,0,0,0,0,0,1,15,0,0,0,4,28,10,0,58,1,0,6,0,0,2,0,0
2016-09-25,0,4,0,7,0,11,3,0,0,0,15,5,16,3,0,0,0,14,0,1,0,8,6,0,0,3,4,0,3,6,0,0,13,21,0,0,5,17,1,9,4,0,36,0,4,4,24,0,0,0,2,0,14,12,66,0,0,13,22,0,0,4,4,0,0,0,8,0,0,10,4,4,0,5,0,5,25,0,0,4,0,0,0,3,1,22,1,0,0,0,0,0,1,0,6,0,12,11,9,1,1,5,4,9,0,0,6,5,8,0,0,16,7,0,0,0,0,0,1,31,0,0,0,0,6,10,0,44,1,0,6,5,0,3,0,0
