,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
250,GRND3,convLSTM1D,9.7,3,3,1d,15
251,GRND3,convLSTM2D,10.8,3,3,1d,15
252,GUAR3,LSTM,53.7,3,3,1d,15
253,GUAR3,BidirectionalLSTM,60.9,3,3,1d,15
254,GUAR3,convLSTM1D,43.4,3,3,1d,15
255,GUAR3,convLSTM2D,29.4,3,3,1d,15
256,HAPV3,LSTM,8.2,3,3,1d,15
257,HAPV3,BidirectionalLSTM,9.1,3,3,1d,15
258,HAPV3,convLSTM1D,10.2,3,3,1d,15
259,HAPV3,convLSTM2D,15.2,3,3,1d,15
260,HGTX3,LSTM,10.8,3,3,1d,15
261,HGTX3,BidirectionalLSTM,24.3,3,3,1d,15
262,HGTX3,convLSTM1D,17.5,3,3,1d,15
263,HGTX3,convLSTM2D,9.0,3,3,1d,15
264,HYPE3,LSTM,8.7,3,3,1d,15
265,HYPE3,BidirectionalLSTM,7.4,3,3,1d,15
266,HYPE3,convLSTM1D,9.3,3,3,1d,15
267,HYPE3,convLSTM2D,9.1,3,3,1d,15
268,IGTA3,LSTM,22.9,3,3,1d,15
269,IGTA3,BidirectionalLSTM,10.2,3,3,1d,15
270,IGTA3,convLSTM1D,20.2,3,3,1d,15
271,IGTA3,convLSTM2D,14.3,3,3,1d,15
272,IRBR3,LSTM,25.1,3,3,1d,15
273,IRBR3,BidirectionalLSTM,45.3,3,3,1d,15
274,IRBR3,convLSTM1D,49.4,3,3,1d,15
275,IRBR3,convLSTM2D,122.0,3,3,1d,15
276,ITSA3,LSTM,7.7,3,3,1d,15
277,ITSA3,BidirectionalLSTM,13.9,3,3,1d,15
278,ITSA3,convLSTM1D,7.6,3,3,1d,15
279,ITSA3,convLSTM2D,5.2,3,3,1d,15
280,ITUB3,LSTM,27.1,3,3,1d,15
281,ITUB3,BidirectionalLSTM,22.8,3,3,1d,15
282,ITUB3,convLSTM1D,19.7,3,3,1d,15
283,ITUB3,convLSTM2D,27.9,3,3,1d,15
284,JBSS3,LSTM,1.8,3,3,1d,15
285,JBSS3,BidirectionalLSTM,4.7,3,3,1d,15
286,JBSS3,convLSTM1D,8.7,3,3,1d,15
287,JBSS3,convLSTM2D,5.0,3,3,1d,15
288,JHSF3,LSTM,4.1,3,3,1d,15
289,JHSF3,BidirectionalLSTM,4.9,3,3,1d,15
290,JHSF3,convLSTM1D,3.4,3,3,1d,15
291,JHSF3,convLSTM2D,2.8,3,3,1d,15
292,KLBN11,LSTM,5.0,3,3,1d,15
293,KLBN11,BidirectionalLSTM,5.7,3,3,1d,15
294,KLBN11,convLSTM1D,6.3,3,3,1d,15
295,KLBN11,convLSTM2D,24.5,3,3,1d,15
296,LAME3,LSTM,30.1,3,3,1d,15
297,LAME3,BidirectionalLSTM,15.8,3,3,1d,15
298,LAME3,convLSTM1D,15.2,3,3,1d,15
299,LAME3,convLSTM2D,32.5,3,3,1d,15
300,LEVE3,LSTM,8.9,3,3,1d,15
301,LEVE3,BidirectionalLSTM,26.4,3,3,1d,15
302,LEVE3,convLSTM1D,22.2,3,3,1d,15
303,LEVE3,convLSTM2D,42.8,3,3,1d,15
304,LIGT3,LSTM,8.7,3,3,1d,15
305,LIGT3,BidirectionalLSTM,8.3,3,3,1d,15
306,LIGT3,convLSTM1D,12.5,3,3,1d,15
307,LIGT3,convLSTM2D,23.4,3,3,1d,15
308,LINX3,LSTM,3.5,3,3,1d,15
309,LINX3,BidirectionalLSTM,1.6,3,3,1d,15
310,LINX3,convLSTM1D,3.9,3,3,1d,15
311,LINX3,convLSTM2D,17.5,3,3,1d,15
312,LLIS3,LSTM,37.6,3,3,1d,15
313,LLIS3,BidirectionalLSTM,44.7,3,3,1d,15
314,LLIS3,convLSTM1D,94.2,3,3,1d,15
315,LLIS3,convLSTM2D,133.2,3,3,1d,15
316,LOGN3,LSTM,17.8,3,3,1d,15
317,LOGN3,BidirectionalLSTM,17.5,3,3,1d,15
318,LOGN3,convLSTM1D,13.7,3,3,1d,15
319,LOGN3,convLSTM2D,7.6,3,3,1d,15
320,LREN3,LSTM,11.6,3,3,1d,15
321,LREN3,BidirectionalLSTM,5.7,3,3,1d,15
322,LREN3,convLSTM1D,7.5,3,3,1d,15
323,LREN3,convLSTM2D,6.5,3,3,1d,15
