,Stock,ML,MAPE,n_steps_in,n_steps_out,interval,samples_test
349,MRVE3,BidirectionalLSTM,29.4,5,1,1wk,5
350,MRVE3,convLSTM1D,15.4,5,1,1wk,5
351,MRVE3,convLSTM2D,19.1,5,1,1wk,5
352,MULT3,LSTM,19.9,5,1,1wk,5
353,MULT3,BidirectionalLSTM,35.2,5,1,1wk,5
354,MULT3,convLSTM1D,16.8,5,1,1wk,5
355,MULT3,convLSTM2D,30.7,5,1,1wk,5
356,MYPK3,LSTM,12.1,5,1,1wk,5
357,MYPK3,BidirectionalLSTM,9.5,5,1,1wk,5
358,MYPK3,convLSTM1D,9.9,5,1,1wk,5
359,MYPK3,convLSTM2D,28.5,5,1,1wk,5
360,NEOE3,LSTM,4.8,5,1,1wk,5
361,NEOE3,BidirectionalLSTM,15.1,5,1,1wk,5
362,NEOE3,convLSTM1D,15.6,5,1,1wk,5
363,NEOE3,convLSTM2D,15.8,5,1,1wk,5
364,NTCO3,LSTM,8.7,5,1,1wk,5
365,NTCO3,BidirectionalLSTM,13.8,5,1,1wk,5
366,NTCO3,convLSTM1D,9.1,5,1,1wk,5
367,NTCO3,convLSTM2D,13.6,5,1,1wk,5
368,OIBR3,LSTM,5.4,5,1,1wk,5
369,OIBR3,BidirectionalLSTM,3.3,5,1,1wk,5
370,OIBR3,convLSTM1D,4.1,5,1,1wk,5
371,OIBR3,convLSTM2D,5.6,5,1,1wk,5
372,OMGE3,LSTM,29.2,5,1,1wk,5
373,OMGE3,BidirectionalLSTM,7.1,5,1,1wk,5
374,OMGE3,convLSTM1D,8.4,5,1,1wk,5
375,OMGE3,convLSTM2D,13.8,5,1,1wk,5
376,PSSA3,LSTM,11.9,5,1,1wk,5
377,PSSA3,BidirectionalLSTM,6.1,5,1,1wk,5
378,PSSA3,convLSTM1D,22.3,5,1,1wk,5
379,PSSA3,convLSTM2D,9.9,5,1,1wk,5
380,PCAR3,LSTM,7.9,5,1,1wk,5
381,PCAR3,BidirectionalLSTM,7.1,5,1,1wk,5
382,PCAR3,convLSTM1D,10.8,5,1,1wk,5
383,PCAR3,convLSTM2D,5.7,5,1,1wk,5
384,PFRM3,LSTM,18.1,5,1,1wk,5
385,PFRM3,BidirectionalLSTM,12.6,5,1,1wk,5
386,PFRM3,convLSTM1D,14.3,5,1,1wk,5
387,PFRM3,convLSTM2D,18.6,5,1,1wk,5
388,PETR3,LSTM,16.1,5,1,1wk,5
389,PETR3,BidirectionalLSTM,23.7,5,1,1wk,5
390,PETR3,convLSTM1D,12.2,5,1,1wk,5
391,PETR3,convLSTM2D,24.9,5,1,1wk,5
392,POMO3,LSTM,13.0,5,1,1wk,5
393,POMO3,BidirectionalLSTM,23.0,5,1,1wk,5
394,POMO3,convLSTM1D,12.4,5,1,1wk,5
395,POMO3,convLSTM2D,16.8,5,1,1wk,5
396,POSI3,LSTM,9.7,5,1,1wk,5
397,POSI3,BidirectionalLSTM,9.5,5,1,1wk,5
398,POSI3,convLSTM1D,3.6,5,1,1wk,5
399,POSI3,convLSTM2D,13.5,5,1,1wk,5
400,PRIO3,LSTM,57.2,5,1,1wk,5
401,PRIO3,BidirectionalLSTM,89.4,5,1,1wk,5
402,PRIO3,convLSTM1D,51.2,5,1,1wk,5
403,PRIO3,convLSTM2D,94.2,5,1,1wk,5
404,PTBL3,LSTM,9.2,5,1,1wk,5
405,PTBL3,BidirectionalLSTM,6.1,5,1,1wk,5
406,PTBL3,convLSTM1D,9.2,5,1,1wk,5
407,PTBL3,convLSTM2D,11.3,5,1,1wk,5
408,QUAL3,LSTM,15.2,5,1,1wk,5
409,QUAL3,BidirectionalLSTM,38.8,5,1,1wk,5
410,QUAL3,convLSTM1D,43.3,5,1,1wk,5
411,QUAL3,convLSTM2D,56.2,5,1,1wk,5
412,RADL3,LSTM,11.9,5,1,1wk,5
413,RADL3,BidirectionalLSTM,5.6,5,1,1wk,5
414,RADL3,convLSTM1D,6.7,5,1,1wk,5
415,RADL3,convLSTM2D,26.9,5,1,1wk,5
416,RAIL3,LSTM,20.1,5,1,1wk,5
417,RAIL3,BidirectionalLSTM,12.2,5,1,1wk,5
418,RAIL3,convLSTM1D,12.1,5,1,1wk,5
419,RAIL3,convLSTM2D,7.3,5,1,1wk,5
420,RAPT3,LSTM,7.2,5,1,1wk,5
421,RAPT3,BidirectionalLSTM,12.3,5,1,1wk,5
422,RAPT3,convLSTM1D,4.8,5,1,1wk,5
423,RAPT3,convLSTM2D,20.1,5,1,1wk,5
424,RLOG3,LSTM,11.3,5,1,1wk,5
425,RLOG3,BidirectionalLSTM,10.6,5,1,1wk,5
426,RLOG3,convLSTM1D,12.3,5,1,1wk,5
427,RLOG3,convLSTM2D,9.9,5,1,1wk,5
428,RENT3,LSTM,14.9,5,1,1wk,5
429,RENT3,BidirectionalLSTM,43.4,5,1,1wk,5
430,RENT3,convLSTM1D,4.1,5,1,1wk,5
431,RENT3,convLSTM2D,14.9,5,1,1wk,5
432,SANB11,LSTM,43.0,5,1,1wk,5
433,SANB11,BidirectionalLSTM,41.7,5,1,1wk,5
434,SANB11,convLSTM1D,28.7,5,1,1wk,5
435,SANB11,convLSTM2D,41.0,5,1,1wk,5
436,SAPR11,LSTM,60.8,5,1,1wk,5
437,SAPR11,BidirectionalLSTM,45.5,5,1,1wk,5
438,SAPR11,convLSTM1D,129.8,5,1,1wk,5
439,SAPR11,convLSTM2D,34.1,5,1,1wk,5
440,SBSP3,LSTM,7.4,5,1,1wk,5
441,SBSP3,BidirectionalLSTM,23.1,5,1,1wk,5
442,SBSP3,convLSTM1D,28.8,5,1,1wk,5
443,SBSP3,convLSTM2D,11.3,5,1,1wk,5
444,SHUL4,LSTM,26.7,5,1,1wk,5
445,SHUL4,BidirectionalLSTM,20.2,5,1,1wk,5
446,SHUL4,convLSTM1D,16.3,5,1,1wk,5
447,SHUL4,convLSTM2D,10.5,5,1,1wk,5
448,SMTO3,LSTM,38.1,5,1,1wk,5
449,SMTO3,BidirectionalLSTM,44.9,5,1,1wk,5
450,SMTO3,convLSTM1D,40.0,5,1,1wk,5
451,SMTO3,convLSTM2D,38.6,5,1,1wk,5
452,SQIA3,LSTM,22.4,5,1,1wk,5
453,SQIA3,BidirectionalLSTM,21.7,5,1,1wk,5
454,SQIA3,convLSTM1D,24.9,5,1,1wk,5
455,SQIA3,convLSTM2D,46.8,5,1,1wk,5
456,STBP3,LSTM,19.2,5,1,1wk,5
457,STBP3,BidirectionalLSTM,10.1,5,1,1wk,5
458,STBP3,convLSTM1D,32.1,5,1,1wk,5
459,STBP3,convLSTM2D,24.6,5,1,1wk,5
460,SULA3,LSTM,26.1,5,1,1wk,5
461,SULA3,BidirectionalLSTM,17.0,5,1,1wk,5
462,SULA3,convLSTM1D,37.9,5,1,1wk,5
463,SULA3,convLSTM2D,4.9,5,1,1wk,5
464,SUZB3,LSTM,17.6,5,1,1wk,5
465,SUZB3,BidirectionalLSTM,21.1,5,1,1wk,5
466,SUZB3,convLSTM1D,14.2,5,1,1wk,5
