,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
129,CPFE3,BidirectionalLSTM,0.0,0,21,5,1d,1
130,CPFE3,convLSTM1D,0.0,0,21,5,1d,1
131,CPFE3,convLSTM2D,0.3841597471372298,1,21,5,1d,1
132,CPLE3,LSTM,34.54509633923365,3,21,5,1d,1
133,CPLE3,BidirectionalLSTM,4.076571910899131,0,21,5,1d,1
134,CPLE3,convLSTM1D,21.609217880313373,3,21,5,1d,1
135,CPLE3,convLSTM2D,0.0,0,21,5,1d,1
136,CRFB3,LSTM,37.50082362205426,4,21,5,1d,1
137,CRFB3,BidirectionalLSTM,25.262563437857548,3,21,5,1d,1
138,CRFB3,convLSTM1D,18.25735074408513,1,21,5,1d,1
139,CRFB3,convLSTM2D,22.604161120475627,4,21,5,1d,1
140,CSMG3,LSTM,0.0,0,21,5,1d,1
141,CSMG3,BidirectionalLSTM,0.0,0,21,5,1d,1
142,CSMG3,convLSTM1D,0.0,0,21,5,1d,1
143,CSMG3,convLSTM2D,0.0,0,21,5,1d,1
144,CSAN3,LSTM,12.351631231103925,0,21,5,1d,1
145,CSAN3,BidirectionalLSTM,8.90335890097728,0,21,5,1d,1
146,CSAN3,convLSTM1D,3.1803171442781912,4,21,5,1d,1
147,CSAN3,convLSTM2D,0.0,0,21,5,1d,1
148,CSNA3,LSTM,49.192280537771616,0,21,5,1d,1
149,CSNA3,BidirectionalLSTM,0.0,0,21,5,1d,1
150,CSNA3,convLSTM1D,0.0,0,21,5,1d,1
151,CSNA3,convLSTM2D,0.0,0,21,5,1d,1
152,CVCB3,LSTM,0.0,0,21,5,1d,1
153,CVCB3,BidirectionalLSTM,0.0,0,21,5,1d,1
154,CVCB3,convLSTM1D,0.0,0,21,5,1d,1
155,CVCB3,convLSTM2D,0.0,0,21,5,1d,1
156,CYRE3,LSTM,6.2667999313760925,0,21,5,1d,1
157,CYRE3,BidirectionalLSTM,28.451553060702494,4,21,5,1d,1
158,CYRE3,convLSTM1D,1.936034812765608,2,21,5,1d,1
159,CYRE3,convLSTM2D,0.0,0,21,5,1d,1
160,DIRR3,LSTM,20.67585877268521,0,21,5,1d,1
161,DIRR3,BidirectionalLSTM,48.6914808245191,4,21,5,1d,1
162,DIRR3,convLSTM1D,1.0194110806442127,0,21,5,1d,1
163,DIRR3,convLSTM2D,15.282304138877329,4,21,5,1d,1
164,DTEX3,LSTM,0.0,0,21,5,1d,1
165,DTEX3,BidirectionalLSTM,0.0,0,21,5,1d,1
166,DTEX3,convLSTM1D,0.0,0,21,5,1d,1
167,DTEX3,convLSTM2D,0.0,0,21,5,1d,1
168,ECOR3,LSTM,16.71986510211093,0,21,5,1d,1
169,ECOR3,BidirectionalLSTM,35.071448841771904,3,21,5,1d,1
170,ECOR3,convLSTM1D,2.3215287911369358,3,21,5,1d,1
171,ECOR3,convLSTM2D,0.0,0,21,5,1d,1
172,EGIE3,LSTM,2.190863514513988,3,21,5,1d,1
173,EGIE3,BidirectionalLSTM,12.320086694823546,4,21,5,1d,1
